Ageyears,Data_Value,Class,Question
 ,15.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,28.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,43,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,41.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,35.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,41.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
65 or older,30.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,25.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,23.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,17.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,28,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24,16.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,48.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,9.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,24.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
18 - 24,12.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,23.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,37.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,33.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,41.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,37.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
18 - 24,15,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,30.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,26.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,41.5,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 ,7.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,25.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,18.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,20.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,38.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,33.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,28.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,16.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
65 or older,36.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,34,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,38.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34, ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,33.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,27.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,45.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,27.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,22.6,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,31.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
